androidx/appcompat: {androidx/appcompat, 58dda6a377126c5b088f1befd060ae28}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
me/drakeet/support: {me/drakeet/support, 8f144726f6342507d0b3e8947cfc526c}
kotlin/internal: {kotlin/internal, c6dad4572012045ac32f07683826aebb}
androidx/activity: {androidx/activity, a77101e9ee7d47bd0974f2702c1bd583}
kotlin/sequences: {kotlin/sequences, 0f0d58b6162c6cb60a28cabd7b61b8c9}
androidx/preference: {androidx/preference, 0dcefbf6e9875bffc0f39e26bf62499c}
com/leinardi/android: {com/leinardi/android, 2c42f030faeca0328c8cc34f74ec9127}
com/google/android: {com/google/android, 378167944d43b41b5384123a13e694ee}
org/jxmpp: {org/jxmpp, 62453f4da2415a4381e29ff4496c9e33}
de/measite/minidns: {de/measite/minidns, 7527e61a60d2bae124c8fef6af55725a}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, dbd29ba3faeae08d68ce9d9d2504f6f9}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/cardview: {androidx/cardview, 62c80935214e53b32e248bdf9222a56e}
org/bouncycastle/util: {org/bouncycastle/util, e2565bc02b3b2ed7793049244ad01983}
com/google/common: {com/google/common, c4335754c002f1e15021b98053efb1fe}
androidx/savedstate: {androidx/savedstate, 37c13d5fadf4cee71076a7c63f7a752d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6a24626e1f082d9a1d10e1a168607622}
me/leolin/shortcutbadger: {me/leolin/shortcutbadger, 366fce2904d45551e08d7d5836972ddd}
kotlinx/coroutines: {kotlinx/coroutines, 255cd0d703934b6c64aa8b375db0b3ba}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
androidx/databinding: {androidx/databinding, f094974f2a67bb4a40cb87edade2f4e6}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
eu/siacs/conversations: {eu/siacs/conversations, 07301c25f18fa8ec0866b047b0aa6d48}
okhttp3/internal: {okhttp3/internal, c8c1646a22f198508b6f463ccb011da6}
androidx/lifecycle: {androidx/lifecycle, 31c22f682e61637a71dbb0ac73e5840a}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, f663656b77dd29bac56d435cf3c06266}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
org/conscrypt: {org/conscrypt, 82d3279987f9855abde751bfa557d45a}
kotlin/text: {kotlin/text, 79ef9f593da81eb31be50669ecc1d23a}
org/openintents/openpgp: {org/openintents/openpgp, 80b28e47f2485c583192aab24cf2b600}
androidx/exifinterface/media: {androidx/exifinterface/media, a913983594d0fb9c55f30120c626eb0a}
androidx/versionedparcelable: {androidx/versionedparcelable, 50bc12e7edd72cef03efd60cef5acad6}
okhttp3: {okhttp3, 143b3a90b3824ff5eaa3b0752737cbf3}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/core: {androidx/core, 51b0965f35e541e4524cd4d7d9a576a0}
org/bouncycastle/jce: {[org/bouncycastle/asn1, org/bouncycastle/jce, ], e51632dc97a821ffffa1ea37ca543911}
